N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.9541385435168739,0.9319324222377452,0.9355337902057514,0.05052790346907994,0.4304885662351725,0.09041448227667843
Model2,500,2,1,0.9557371225577265,0.9390851630034408,0.9409619086593346,0.11689291101055807,0.4744057627958557,0.1651145557915855
Model3,500,3,1,0.9551332149200711,0.9284553423031215,0.9381082394069651,0.07918552036199095,0.30847020678615167,0.1235689599373315
Model4,500,1,2,0.9674600355239786,0.9596006389198103,0.9626397210656281,0.4230769230769231,0.533564012621315,0.4603759082567332
Model5,500,2,2,0.9706571936056838,0.9698838257727225,0.9697795248238074,0.5701357466063348,0.5880186181649527,0.5686686294649299
Model6,500,3,2,0.9723978685612789,0.9705242483136838,0.9696844042628263,0.548265460030166,0.6416976434377915,0.5574859857766024
Model7,800,1,2,0.9689165186500888,0.9599306025963044,0.9639723415500772,0.4539969834087481,0.5142768922925479,0.4753460802135778
Model8,800,2,2,0.9700532859680284,0.9743665203473463,0.9716213459221684,0.6711915535444947,0.5609468149357147,0.6040830571207567
Model9,800,3,2,0.9680639431616341,0.9733040597058078,0.9698333279057186,0.6327300150829562,0.5596121715262059,0.5785365603312388
